Unnamed: 0,timestamp,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,ammonia,us_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,surface_pressure,precipitation,cloud_cover,city
1.0,2026-09-06 16:00:00,18.0,40.7,175.0,4.4,4.3,53.0,36.0,,69,28.9,71,18.4,237,1006.5,0.0,90,Karachi
3.0,2026-09-07 12:00:00,18.7,45.3,166.0,4.8,5.2,58.0,43.0,,64,29.1,72,19.1,246,1008.2,0.1,100,Karachi
4.0,2026-09-02 14:00:00,18.6,48.1,204.0,4.4,5.3,62.0,46.0,,67,29.6,70,15.3,226,1004.8,0.0,95,Karachi
6.0,2026-09-04 09:00:00,18.5,42.5,257.0,8.5,5.4,45.0,30.0,,66,28.3,70,16.4,261,1006.2,0.0,77,Karachi
7.0,2026-09-03 10:00:00,17.9,44.6,231.0,7.2,5.8,52.0,38.0,,64,28.7,68,15.6,241,1006.6,0.0,70,Karachi
10248.0,2026-09-04 12:00:00,18.9,43.0,181.0,4.2,4.8,62.0,37.0,,66,29.4,66,17.6,244,1006.1,0.0,100,Karachi
14345.0,2026-09-07 01:00:00,12.7,24.6,125.0,7.2,4.3,37.0,15.0,,64,25.9,91,13.3,257,1008.8,0.0,48,Karachi
18263.0,2026-09-06 13:00:00,21.2,52.9,142.0,2.7,4.4,62.0,47.0,,68,29.7,66,17.1,243,1007.6,0.0,98,Karachi
18264.0,2026-09-04 05:00:00,13.4,28.3,128.0,6.3,4.7,39.0,22.0,,66,26.1,84,14.0,263,1004.3,0.0,56,Karachi
18266.0,2026-09-07 03:00:00,12.0,23.9,102.0,5.3,3.9,39.0,15.0,,64,25.8,91,12.8,254,1007.5,0.0,39,Karachi
18267.0,2026-09-04 21:00:00,14.5,28.3,212.0,15.9,5.6,32.0,22.0,,66,26.8,84,15.2,236,1006.4,0.0,84,Karachi
18268.0,2026-09-05 00:00:00,12.5,24.3,180.0,11.2,5.1,35.0,15.0,,65,26.1,88,13.5,260,1007.2,0.0,72,Karachi
18269.0,2026-09-06 09:00:00,18.8,44.7,208.0,6.5,5.3,47.0,35.0,,68,28.3,74,16.4,261,1008.6,0.0,38,Karachi
18270.0,2026-09-02 17:00:00,16.6,37.7,269.0,8.4,5.3,47.0,29.0,,67,28.5,73,14.3,228,1004.1,0.1,99,Karachi
18273.0,2026-09-02 19:00:00,18.1,36.3,271.0,16.6,6.2,34.0,20.0,,66,27.0,84,12.4,229,1004.7,0.0,18,Karachi
18274.0,2026-09-06 12:00:00,21.5,53.9,137.0,2.9,4.5,61.0,50.0,,68,29.7,66,16.5,248,1008.3,0.0,100,Karachi
18276.0,2026-09-02 23:00:00,14.2,25.1,200.0,19.1,6.9,27.0,13.0,,65,26.1,89,11.3,239,1005.7,0.0,23,Karachi
18277.0,2026-09-06 20:00:00,13.5,24.4,173.0,12.3,4.9,35.0,14.0,,66,27.0,84,15.2,239,1007.9,0.1,39,Karachi
18278.0,2026-09-03 09:00:00,17.1,41.4,286.0,10.2,6.3,43.0,33.0,,64,27.9,73,14.3,245,1006.4,0.0,47,Karachi
18279.0,2026-09-03 16:00:00,17.3,43.2,236.0,6.2,4.6,54.0,42.0,,65,28.4,70,16.9,237,1003.5,0.0,52,Karachi
18280.0,2026-09-07 02:00:00,12.3,24.3,112.0,6.2,4.0,38.0,15.0,,64,25.8,92,12.4,256,1008.1,0.0,27,Karachi
18281.0,2026-09-05 06:00:00,13.2,27.4,166.0,7.1,4.7,38.0,22.0,,66,26.1,87,15.0,273,1006.3,0.0,85,Karachi
18283.0,2026-09-07 10:00:00,19.3,45.8,203.0,7.9,5.7,46.0,36.0,,64,28.7,73,18.4,254,1008.8,0.0,95,Karachi
18284.0,2026-09-03 22:00:00,16.6,33.8,241.0,16.4,6.1,33.0,26.0,,64,26.7,79,12.2,250,1005.4,0.0,25,Karachi
18285.0,2026-09-05 15:00:00,20.5,51.2,203.0,4.1,4.5,62.0,46.0,,66,28.9,73,18.7,240,1006.1,0.1,100,Karachi
18286.0,2026-09-07 00:00:00,13.3,25.6,143.0,8.4,4.6,37.0,15.0,,64,26.2,89,13.0,252,1009.4,0.0,55,Karachi
18287.0,2026-09-06 06:00:00,11.6,23.3,150.0,6.4,4.6,38.0,18.0,,69,25.8,90,13.2,267,1006.5,0.0,3,Karachi
18288.0,2026-09-04 16:00:00,17.7,40.2,231.0,5.8,4.4,53.0,32.0,,67,28.7,71,18.2,239,1004.4,0.0,82,Karachi
18291.0,2026-09-06 04:00:00,12.3,24.3,108.0,6.5,4.1,36.0,15.0,,70,25.9,90,13.2,267,1006.5,0.0,88,Karachi
18292.0,2026-09-02 13:00:00,19.3,50.3,194.0,4.5,5.5,60.0,49.0,,67,29.5,69,14.6,225,1005.4,0.0,98,Karachi
18294.0,2026-09-03 00:00:00,13.7,24.5,177.0,16.8,6.5,28.0,13.0,,64,25.9,90,11.8,254,1005.5,0.0,51,Karachi
18295.0,2026-09-02 01:00:00,13.1,24.0,179.0,13.0,5.8,30.0,13.0,,62,25.6,92,9.7,252,1005.1,0.0,95,Karachi
18297.0,2026-09-02 09:00:00,19.0,47.7,314.0,12.5,6.8,37.0,39.0,,66,27.2,80,12.4,242,1006.4,0.0,99,Karachi
18298.0,2026-09-03 21:00:00,19.4,42.5,236.0,16.7,6.0,33.0,28.0,,64,26.9,78,13.1,247,1005.1,0.0,86,Karachi
18299.0,2026-09-07 11:00:00,19.4,46.7,171.0,6.0,5.4,52.0,41.0,,64,29.4,69,18.7,252,1008.8,0.1,100,Karachi
18300.0,2026-09-06 15:00:00,19.6,46.1,160.0,3.7,4.3,58.0,40.0,,68,29.2,71,17.4,237,1006.5,0.0,91,Karachi
18301.0,2026-09-06 22:00:00,13.6,25.6,165.0,10.8,5.0,35.0,14.0,,65,26.4,89,14.7,245,1009.2,0.0,21,Karachi
18302.0,2026-09-04 06:00:00,13.3,27.9,173.0,7.2,4.9,39.0,23.0,,66,26.0,85,14.6,266,1004.4,0.0,83,Karachi
18303.0,2026-09-02 21:00:00,14.5,25.6,241.0,20.7,6.8,27.0,15.0,,65,26.5,86,10.4,231,1005.6,0.0,30,Karachi
18304.0,2026-09-07 14:00:00,19.3,46.8,185.0,3.6,4.8,64.0,42.0,,63,28.7,76,19.0,241,1006.6,0.1,98,Karachi
18305.0,2026-09-07 07:00:00,13.2,25.6,225.0,9.5,5.5,35.0,22.0,,65,26.1,90,13.3,260,1007.9,0.0,52,Karachi
18306.0,2026-09-04 15:00:00,19.0,44.1,211.0,4.2,4.4,61.0,37.0,,66,29.5,67,18.5,237,1004.6,0.0,85,Karachi
18309.0,2026-09-06 01:00:00,11.5,21.2,143.0,8.9,4.1,35.0,12.0,,65,26.1,88,12.2,269,1007.4,0.0,14,Karachi
18310.0,2026-09-03 17:00:00,17.0,41.8,249.0,8.1,4.7,48.0,38.0,,65,28.1,71,16.0,247,1003.5,0.0,48,Karachi
18311.0,2026-09-02 02:00:00,12.3,23.6,147.0,10.2,5.3,33.0,14.0,,62,25.5,93,9.8,250,1004.8,0.0,99,Karachi
18312.0,2026-09-04 11:00:00,19.1,43.2,186.0,5.1,5.0,58.0,35.0,,66,29.5,64,17.8,252,1006.5,0.0,100,Karachi
18315.0,2026-09-05 13:00:00,20.6,53.0,180.0,3.4,4.5,66.0,49.0,,65,29.5,69,17.8,247,1007.2,0.1,100,Karachi
18316.0,2026-09-05 09:00:00,18.1,41.4,254.0,9.3,5.2,44.0,32.0,,65,28.5,72,16.0,268,1008.0,0.0,34,Karachi
18317.0,2026-09-02 07:00:00,15.4,32.5,291.0,12.7,6.5,31.0,29.0,,66,25.5,92,10.2,240,1005.2,0.0,96,Karachi
18319.0,2026-09-03 12:00:00,19.0,48.0,181.0,3.8,5.1,64.0,45.0,,64,29.0,68,17.1,243,1005.9,0.0,100,Karachi
18320.0,2026-09-08 00:00:00,13.9,31.1,179.0,13.1,5.5,31.0,25.0,,63,26.2,90,12.1,247,1007.8,0.0,41,Karachi
18321.0,2026-09-06 23:00:00,13.7,26.3,157.0,9.5,4.9,36.0,15.0,,64,26.2,89,13.4,250,1009.3,0.0,65,Karachi
18322.0,2026-09-05 02:00:00,11.9,23.9,122.0,6.4,4.0,39.0,16.0,,64,26.0,87,13.3,257,1006.5,0.0,57,Karachi
18323.0,2026-09-06 02:00:00,11.3,21.4,123.0,7.4,3.9,36.0,12.0,,64,25.9,90,12.8,268,1006.7,0.0,28,Karachi
18325.0,2026-09-06 10:00:00,21.0,50.5,171.0,4.7,5.0,54.0,43.0,,68,29.3,68,16.6,258,1008.9,0.0,52,Karachi
18326.0,2026-09-07 17:00:00,22.6,62.4,238.0,8.2,4.7,43.0,61.0,,63,27.9,79,18.4,244,1005.8,0.1,98,Karachi
18327.0,2026-09-05 20:00:00,12.7,23.5,225.0,15.5,5.0,31.0,13.0,,67,26.9,84,14.6,240,1007.2,0.0,38,Karachi
18328.0,2026-09-06 11:00:00,21.4,52.9,143.0,3.4,4.7,59.0,49.0,,68,29.8,65,16.5,252,1008.9,0.0,100,Karachi
18329.0,2026-09-04 14:00:00,19.2,44.4,196.0,3.5,4.5,65.0,38.0,,66,29.5,67,17.7,237,1004.7,0.0,95,Karachi
18330.0,2026-09-07 19:00:00,14.9,32.0,227.0,12.7,5.3,35.0,32.0,,63,27.0,83,14.3,226,1006.0,0.0,62,Karachi
18331.0,2026-09-04 17:00:00,16.7,37.3,242.0,7.7,4.5,47.0,29.0,,67,28.2,72,18.3,245,1004.4,0.0,90,Karachi
18332.0,2026-09-04 20:00:00,17.4,35.5,216.0,15.7,5.4,33.0,25.0,,66,27.0,81,15.7,238,1005.7,0.0,89,Karachi
18333.0,2026-09-04 13:00:00,19.0,43.8,186.0,3.5,4.6,65.0,38.0,,66,29.5,68,17.3,239,1005.1,0.0,99,Karachi
